datetime,teamperature,humidity
2022-02-19  07:11:54,20,35
2022-02-19  07:12:28,20,35
2022-02-19  07:13:01,20,35
2022-02-19  07:13:35,20,35
2022-02-19  07:14:08,20,35
2022-02-19  07:14:42,20,35
2022-02-19  07:15:15,20,35
2022-02-19  07:15:49,20,35
2022-02-19  07:16:22,20,35
2022-02-19  07:16:56,20,34
2022-02-19  07:17:29,20,35
2022-02-19  07:18:03,20,35
2022-02-19  07:18:36,20,35
2022-02-19  07:19:10,20,35
2022-02-19  07:19:43,20,35
2022-02-19  07:20:17,20,35
2022-02-19  07:20:50,20,35
2022-02-19  07:21:24,20,35
2022-02-19  07:21:57,20,35
2022-02-19  07:22:31,21,36
2022-02-19  07:23:04,21,36
2022-02-19  07:23:38,21,36
2022-02-19  07:24:11,21,36
2022-02-19  07:24:45,20,34
2022-02-19  07:25:18,21,36
2022-02-19  07:25:52,21,36
2022-02-19  07:26:25,21,36
2022-02-19  07:26:59,21,36
2022-02-19  07:27:32,21,36
2022-02-19  07:28:06,21,36
2022-02-19  07:28:40,21,36
2022-02-19  07:29:13,21,36
2022-02-19  07:29:47,21,35
2022-02-19  07:30:20,21,35
2022-02-19  07:30:54,21,35
2022-02-19  07:31:27,21,35
2022-02-19  07:32:01,21,35
2022-02-19  07:32:34,21,35
2022-02-19  07:33:08,21,36
2022-02-19  07:33:41,21,35
2022-02-19  07:34:15,21,35
2022-02-19  07:34:48,21,35
2022-02-19  07:35:22,21,35
2022-02-19  07:35:55,21,35
2022-02-19  07:36:29,21,35
2022-02-19  07:37:02,21,35
2022-02-19  07:37:36,21,35
2022-02-19  07:38:09,21,35
2022-02-19  07:38:43,21,35
2022-02-19  07:39:16,21,35
2022-02-19  07:39:50,21,35
2022-02-19  07:40:23,21,35
2022-02-19  07:40:57,21,35
2022-02-19  07:41:30,21,35
2022-02-19  07:42:04,21,35
2022-02-19  07:42:37,21,35
2022-02-19  07:43:11,21,35
2022-02-19  07:43:44,21,35
2022-02-19  07:44:18,21,35
2022-02-19  07:44:51,21,35
2022-02-19  07:45:25,21,35
2022-02-19  07:45:58,21,35
2022-02-19  07:46:32,21,35
2022-02-19  07:47:05,21,35
2022-02-19  07:47:39,21,35
2022-02-19  07:48:12,21,35
2022-02-19  07:48:46,21,35
2022-02-19  07:49:19,21,35
2022-02-19  07:49:53,21,35
2022-02-19  07:50:26,21,35
2022-02-19  07:51:00,21,35
2022-02-19  07:51:33,21,35
2022-02-19  07:52:07,21,35
2022-02-19  07:52:40,21,35
2022-02-19  07:53:14,21,35
2022-02-19  07:53:47,21,35
2022-02-19  07:54:21,21,35
2022-02-19  07:54:54,21,35
2022-02-19  07:55:28,21,35
2022-02-19  07:56:01,21,35
2022-02-19  07:56:35,21,35
2022-02-19  07:57:08,21,35
2022-02-19  07:57:42,21,35
2022-02-19  07:58:15,21,35
2022-02-19  07:58:49,21,34
2022-02-19  07:59:22,21,34
2022-02-19  07:59:56,21,34
2022-02-19  08:00:29,21,34
2022-02-19  08:01:03,21,34
2022-02-19  08:01:36,21,34
2022-02-19  08:02:10,21,34
2022-02-19  08:02:43,21,34
2022-02-19  08:03:17,21,34
2022-02-19  08:03:50,21,34
2022-02-19  08:04:24,21,34
2022-02-19  08:04:57,21,34
2022-02-19  08:05:31,21,34
2022-02-19  08:06:04,22,35
2022-02-19  08:06:38,22,35
2022-02-19  08:07:11,22,35
2022-02-19  08:07:45,22,35
2022-02-19  08:08:18,22,35
2022-02-19  08:08:52,22,35
2022-02-19  08:09:25,22,35
2022-02-19  08:09:59,22,35
2022-02-19  08:10:32,22,35
2022-02-19  08:11:06,22,35
2022-02-19  08:11:39,22,35
2022-02-19  08:12:13,22,35
2022-02-19  08:12:46,22,35
2022-02-19  08:13:20,22,35
2022-02-19  08:13:53,22,35
2022-02-19  08:14:27,22,35
2022-02-19  08:15:00,22,35
2022-02-19  08:15:34,22,35
2022-02-19  08:16:07,22,35
2022-02-19  08:16:41,22,35
2022-02-19  08:17:14,22,35
2022-02-19  08:17:48,22,35
2022-02-19  08:18:21,22,35
2022-02-19  08:18:55,22,35
2022-02-19  08:19:28,22,35
2022-02-19  08:20:02,22,35
2022-02-19  08:20:35,22,35
2022-02-19  08:21:09,22,35
2022-02-19  08:21:42,22,35
2022-02-19  08:22:16,22,35
2022-02-19  08:22:49,22,35
2022-02-19  08:23:23,22,35
2022-02-19  08:23:56,22,35
2022-02-19  08:24:30,22,35
2022-02-19  08:25:03,22,35
2022-02-19  08:25:37,22,35
2022-02-19  08:26:10,22,34
2022-02-19  08:26:44,22,34
2022-02-19  08:27:18,22,35
2022-02-19  08:27:51,22,35
2022-02-19  08:28:25,22,34
2022-02-19  08:28:58,22,34
2022-02-19  08:29:32,22,34
2022-02-19  08:30:05,22,34
2022-02-19  08:30:39,22,34
2022-02-19  08:31:12,22,34
2022-02-19  08:31:46,22,34
2022-02-19  08:32:19,22,34
2022-02-19  08:32:53,22,34
2022-02-19  08:33:26,22,34
2022-02-19  08:34:00,22,34
2022-02-19  08:34:33,22,34
2022-02-19  08:35:07,22,34
2022-02-19  08:35:40,22,34
2022-02-19  08:36:14,22,34
2022-02-19  08:36:47,22,34
2022-02-19  08:37:21,22,34
2022-02-19  08:37:54,22,34
2022-02-19  08:38:28,22,34
2022-02-19  08:39:01,22,34
2022-02-19  08:39:35,22,34
2022-02-19  08:40:08,22,34
2022-02-19  08:40:42,22,34
2022-02-19  08:41:15,22,34
2022-02-19  08:41:49,22,34
2022-02-19  08:42:22,22,34
2022-02-19  08:42:56,22,34
2022-02-19  08:43:29,22,34
2022-02-19  08:44:03,22,34
2022-02-19  08:44:36,22,34
2022-02-19  08:45:10,22,34
2022-02-19  08:45:43,22,34
2022-02-19  08:46:17,22,34
2022-02-19  08:46:50,22,34
2022-02-19  08:47:24,22,34
2022-02-19  08:47:57,22,34
2022-02-19  08:48:31,22,34
2022-02-19  08:49:04,22,34
2022-02-19  08:49:38,22,34
2022-02-19  08:50:11,22,34
2022-02-19  08:50:45,22,34
2022-02-19  08:51:18,22,34
2022-02-19  08:51:52,22,34
2022-02-19  08:52:25,22,34
2022-02-19  08:52:59,22,34
2022-02-19  08:53:33,22,34
2022-02-19  08:54:06,22,34
2022-02-19  08:54:40,22,34
2022-02-19  08:55:13,22,34
